Disease,Image_Path,Description
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_10.jpg,"This photograph displays bilateral contact dermatitis on both forearms. The skin is intensely red and thickened, with a visible difference in texture compared to the unaffected skin on the upper arms. On one arm, a white patch test or dressing is visible, used to identify the specific allergen causing the flare. The widespread nature of the rash on both arms suggests a common exposure, such as a laundry detergent or a chemical encountered while working with the arms resting on a surface."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_11.jpg,"This image provides a clear example of nickel-induced allergic contact dermatitis on the wrist. The red, papular rash perfectly matches the circular shape and position of the watch face shown next to it. This ""shape-specific"" rash is a definitive clinical sign that the metal casing of the watch is the source of the allergen. The reaction consists of small, itchy-looking bumps (papules) that are confined strictly to the area of metal contact."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_12.jpg,"This image displays a classic case of acute allergic contact dermatitis on the forearm, likely due to a topical exposure. The affected area shows intense confluent erythema (redness) and significant edema (swelling) with a textured, ""cobblestone"" appearance caused by numerous small vesicles (fluid-filled blisters). There is a sharp line of demarcation where the offending substance ended, which is a hallmark of contact-related reactions. The surrounding skin appears healthy, emphasizing the localized nature of this inflammatory response."
,,
,,
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0000,"This image shows a classic presentation of guttate psoriasis across the upper back and neck area. The skin is covered in numerous small, discrete, drop-like erythematous papules that are widely disseminated. Most lesions appear bright red with a very fine, minimally visible scale on the surface. The distribution is symmetrical and dense, which is typical for a post-streptococcal or acute flare."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0001,"This close-up view displays eruptive guttate psoriasis with small, salmon-pink papules. Some of the larger lesions are starting to coalesce, forming small, irregular inflammatory clusters. There is evidence of fine, silvery scaling on the surface of several papules, indicating active skin cell turnover. The surrounding skin shows no signs of general inflammation, highlighting the sharp borders of each individual lesion."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0002,"The photograph illustrates resolving psoriasis on a darker skin tone, characterized by post-inflammatory hypopigmentation. The affected areas appear as pale, flat macules where the previous red plaques have flattened and faded. Minimal erythema remains, suggesting that the acute inflammatory phase of the disease has subsided. The skin texture looks relatively smooth, with only very slight residual scaling visible in certain patches."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0003,"This image exhibits disseminated plaque psoriasis featuring multiple large, oval-shaped erythematous plaques. Each lesion is covered with a thick, micaceous (silvery-white) scale that is highly characteristic of the condition. The plaques are well-demarcated with bright red, raised borders that stand out against the healthy skin. The symmetry and size of these lesions indicate a more chronic and stable form of the disease compared to guttate types."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0004,"The image shows a very large, hyperkeratotic psoriatic plaque located on an extensor surface like the knee or elbow. There is a dense, confluent layer of silvery-white scale that completely masks the underlying redness. The skin appears significantly thickened and ""leathery"" due to chronic inflammation and friction in this area. Deep skin markings are visible within the plaque, reflecting the high degree of epidermal hyperplasia."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0005,"This close-up depicts a nummular (coin-shaped) plaque with an intense, deep red base. The surface shows a prominent, cracked scale that appears slightly yellowish or ""dirty"" silvery-white. The lesion is sharply defined and significantly elevated above the level of the surrounding healthy tissue. Such plaques are often associated with pruritus (itching) and are resistant to simple topical treatments."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0006,"This photograph displays inverse psoriasis occurring in the intergluteal cleft. The area shows bright red, shiny, and well-demarcated erythema without any visible scaling. The absence of scale is due to the moisture and friction inherent to skin-fold environments. There is a visible central fissure (crack) within the inflamed area, which can be quite painful for the patient."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0007,"This image shows a severe case of flexural or inverse psoriasis in a deep skin fold. The skin is ""beefy red,"" moist, and has a glazed or macerated appearance. A distinct linear fissure is visible at the base of the fold, indicating a breakdown of the skin barrier. Unlike typical plaque psoriasis, there is a total lack of silvery scale, making it sometimes resemble a fungal infection."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0008,"The image illustrates axillary psoriasis, appearing as a large, confluent red patch in the underarm. The lesion has a very sharp, geographic border that separates the inflamed skin from the normal axillary skin. The surface is smooth and slightly reflective, lacking the dry crusting usually seen on the limbs. The distribution is consistent with inverse psoriasis, where the rash is limited strictly to the vault of the armpit."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0009,"This image shows scalp psoriasis extending from the hair-bearing area down toward the ear. There are thick, adherent, asbestos-like white scales that ""bind"" the hair shafts together. The underlying skin is intensely erythematous and thickened, often referred to as a ""psoriatic corona"" when it follows the hairline. The scaling is very prominent and can be seen shedding onto the hair and surrounding skin."
psoriasis,dermnet_dataset/Psoriasis/psoriasis_0010,"shows a classic case of scalp psoriasis along the anterior hairline of an older individual. The skin exhibits a well-demarcated erythematous (red) base that is covered by thick, adherent, silvery-white scales typical of psoriatic plaques. These scales are visibly shedding and extending into the hair shafts, creating a ""leathery"" appearance on the skin surface. The presence of the rash specifically along the hairline is a common clinical feature often referred to as the ""psoriatic corona."""
